DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
J136 - 2 yo Male,240245,UT,B,37.1758,-122.6494,,,,04:32:18 25-May-2023,,,1179,,,,,,145,70,12.40,8.50,117
J136 - 2 yo Male,240245,UT,B,37.1758,-122.6494,,,,04:32:18 25-May-2023,0,04:32:18 25-May-2023,473,0,400,2275,2,54,,,,,
J136 - 2 yo Male,240245,UT,B,37.1758,-122.6494,,,,04:32:18 25-May-2023,1,04:40:11 25-May-2023,141,400,424,1549,9,,,,,,
J136 - 2 yo Male,240245,UT,B,37.1758,-122.6494,,,,04:32:18 25-May-2023,2,04:42:32 25-May-2023,124,424,352,1404,0,,,,,,
J136 - 2 yo Male,240245,UT,B,37.1758,-122.6494,,,,04:32:18 25-May-2023,3,04:44:36 25-May-2023,200,352,156,3074,1,,,,,,
J136 - 2 yo Male,240245,UT,B,37.1758,-122.6494,,,,04:32:18 25-May-2023,4,04:47:56 25-May-2023,124,156,0,1331,0,-37,,,,,
J136 - 2 yo Male,240245,UT,B,37.0899,-123.4003,,,,11:22:25 25-May-2023,,,1160,,,,,,123,70,11.80,8.70,105
J136 - 2 yo Male,240245,UT,B,37.0899,-123.4003,,,,11:22:25 25-May-2023,0,11:22:25 25-May-2023,148,0,168,670,1,67,,,,,
J136 - 2 yo Male,240245,UT,B,37.0899,-123.4003,,,,11:22:25 25-May-2023,1,11:24:53 25-May-2023,322,168,360,1493,2,,,,,,
J136 - 2 yo Male,240245,UT,B,37.0899,-123.4003,,,,11:22:25 25-May-2023,2,11:30:15 25-May-2023,173,360,304,2590,7,,,,,,
J136 - 2 yo Male,240245,UT,B,37.0899,-123.4003,,,,11:22:25 25-May-2023,3,11:33:08 25-May-2023,148,304,312,1219,1,,,,,,
J136 - 2 yo Male,240245,UT,B,37.0899,-123.4003,,,,11:22:25 25-May-2023,4,11:35:36 25-May-2023,264,312,0,3870,0,-27,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,15:45:13 26-May-2023,,,1156,,,,,,46,233,11.90,8.70,149
J136 - 2 yo Male,240245,UT,,,,,,,15:45:13 26-May-2023,0,15:45:13 26-May-2023,181,0,208,742,4,64,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,15:45:13 26-May-2023,1,15:48:14 26-May-2023,354,208,272,2856,1,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,15:45:13 26-May-2023,2,15:54:08 26-May-2023,157,272,256,1641,0,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,15:45:13 26-May-2023,3,15:56:45 26-May-2023,166,256,200,1956,0,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,15:45:13 26-May-2023,4,15:59:31 26-May-2023,149,200,0,1911,0,-23,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,02:13:54 27-May-2023,,,1072,,,,,,246,196,12.40,8.70,106
J136 - 2 yo Male,240245,UT,,,,,,,02:13:54 27-May-2023,0,02:13:54 27-May-2023,211,0,256,746,4,71,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,02:13:54 27-May-2023,1,02:17:25 27-May-2023,181,256,368,614,2,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,02:13:54 27-May-2023,2,02:20:26 27-May-2023,159,368,288,1800,3,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,02:13:54 27-May-2023,3,02:23:05 27-May-2023,257,288,196,2787,0,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,02:13:54 27-May-2023,4,02:27:22 27-May-2023,158,196,0,1821,0,-20,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,12:47:15 27-May-2023,,,1441,,,,,,206,83,11.70,8.80,76
J136 - 2 yo Male,240245,UT,,,,,,,12:47:15 27-May-2023,0,12:47:15 27-May-2023,160,0,200,421,1,71,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,12:47:15 27-May-2023,1,12:49:55 27-May-2023,448,200,344,926,3,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,12:47:15 27-May-2023,2,12:57:23 27-May-2023,106,344,296,1010,0,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,12:47:15 27-May-2023,3,12:59:09 27-May-2023,502,296,204,3562,0,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,12:47:15 27-May-2023,4,13:07:31 27-May-2023,149,204,0,1486,0,-43,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,16:54:45 28-May-2023,,,980,,,,,,54,46,10.20,8.20,65
J136 - 2 yo Male,240245,UT,,,,,,,16:54:45 28-May-2023,0,16:54:45 28-May-2023,243,0,312,732,3,71,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,16:54:45 28-May-2023,1,16:58:48 28-May-2023,172,312,344,2383,19,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,16:54:45 28-May-2023,2,17:01:40 28-May-2023,128,344,336,1257,6,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,16:54:45 28-May-2023,3,17:03:48 28-May-2023,186,336,241,2252,0,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,16:54:45 28-May-2023,4,17:06:54 28-May-2023,186,241,0,2346,0,-22,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,03:26:28 29-May-2023,,,884,,,,,,127,228,11.20,8.50,72
J136 - 2 yo Male,240245,UT,,,,,,,03:26:28 29-May-2023,0,03:26:28 29-May-2023,260,0,304,1019,7,62,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,03:26:28 29-May-2023,1,03:30:48 29-May-2023,89,304,264,831,0,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,03:26:28 29-May-2023,2,03:32:17 29-May-2023,76,264,368,751,1,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,03:26:28 29-May-2023,3,03:33:33 29-May-2023,140,368,320,1581,10,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,03:26:28 29-May-2023,4,03:35:53 29-May-2023,247,320,0,3404,0,-21,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,06:50:45 29-May-2023,,,750,,,,,,42,77,9.80,8.00,75
J136 - 2 yo Male,240245,UT,,,,,,,06:50:45 29-May-2023,0,06:50:45 29-May-2023,179,0,168,879,2,60,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,06:50:45 29-May-2023,1,06:53:44 29-May-2023,85,168,208,764,6,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,06:50:45 29-May-2023,2,06:55:09 29-May-2023,126,208,212,1121,1,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,06:50:45 29-May-2023,3,06:57:15 29-May-2023,148,212,144,1617,0,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,06:50:45 29-May-2023,4,06:59:43 29-May-2023,137,144,0,1617,0,-15,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,04:27:31 30-May-2023,,,826,,,,,,56,80,11.90,8.60,77
J136 - 2 yo Male,240245,UT,,,,,,,04:27:31 30-May-2023,0,04:27:31 30-May-2023,146,0,164,343,1,63,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,04:27:31 30-May-2023,1,04:29:57 30-May-2023,152,164,248,1073,3,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,04:27:31 30-May-2023,2,04:32:29 30-May-2023,129,248,192,1729,4,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,04:27:31 30-May-2023,3,04:34:38 30-May-2023,170,192,176,1506,2,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,04:27:31 30-May-2023,4,04:37:28 30-May-2023,152,176,0,1893,0,-18,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,16:30:19 04-Jun-2023,,,1271,,,,,,66,39,13.20,7.70,90
J136 - 2 yo Male,240245,UT,,,,,,,16:30:19 04-Jun-2023,0,16:30:19 04-Jun-2023,231,0,236,752,2,58,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,16:30:19 04-Jun-2023,1,16:34:10 04-Jun-2023,221,236,320,1060,2,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,16:30:19 04-Jun-2023,2,16:37:51 04-Jun-2023,148,320,328,1163,0,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,16:30:19 04-Jun-2023,3,16:40:19 04-Jun-2023,350,328,272,4344,0,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,16:30:19 04-Jun-2023,4,16:46:09 04-Jun-2023,231,272,0,3762,0,-15,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,15:11:15 14-Jun-2023,,,1221,,,,,,16,193,10.40,6.90,96
J136 - 2 yo Male,240245,UT,,,,,,,15:11:15 14-Jun-2023,0,15:11:15 14-Jun-2023,422,0,576,1448,1,67,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,15:11:15 14-Jun-2023,1,15:18:17 14-Jun-2023,88,576,608,854,1,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,15:11:15 14-Jun-2023,2,15:19:45 14-Jun-2023,158,608,576,3751,24,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,15:11:15 14-Jun-2023,3,15:22:23 14-Jun-2023,176,576,416,3454,9,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,15:11:15 14-Jun-2023,4,15:25:19 14-Jun-2023,281,416,0,4717,1,-48,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,05:06:34 15-Jun-2023,,,875,,,,,,237,69,8.90,6.20,69
J136 - 2 yo Male,240245,UT,,,,,,,05:06:34 15-Jun-2023,0,05:06:34 15-Jun-2023,107,0,106,601,0,56,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,05:06:34 15-Jun-2023,1,05:08:21 15-Jun-2023,195,106,160,1770,0,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,05:06:34 15-Jun-2023,2,05:11:36 15-Jun-2023,359,160,120,4014,1,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,05:06:34 15-Jun-2023,3,05:17:35 15-Jun-2023,69,120,86,885,0,,,,,,
J136 - 2 yo Male,240245,UT,,,,,,,05:06:34 15-Jun-2023,4,05:18:44 15-Jun-2023,76,86,0,822,0,-18,,,,,
J136 - 2 yo Male,240245,UT,B,50.6876,-126.8825,,,,15:34:42 15-Jun-2023,,,979,,,,,,24,19,10.80,,61
J136 - 2 yo Male,240245,UT,B,50.6876,-126.8825,,,,15:34:42 15-Jun-2023,0,15:34:42 15-Jun-2023,57,0,88,381,0,66,,,,,
J136 - 2 yo Male,240245,UT,B,50.6876,-126.8825,,,,15:34:42 15-Jun-2023,1,15:35:39 15-Jun-2023,43,88,128,272,0,,,,,,
J136 - 2 yo Male,240245,UT,B,50.6876,-126.8825,,,,15:34:42 15-Jun-2023,2,15:36:22 15-Jun-2023,624,128,136,6911,0,,,,,,
