DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
H835 - 1yo Male,228965,UT,,,,,,,23:39:05 29-May-2022,,,729,,,,,,121,107,11.70,8.30,74
H835 - 1yo Male,228965,UT,,,,,,,23:39:05 29-May-2022,0,23:39:05 29-May-2022,169,0,228,1007,0,71,,,,,
H835 - 1yo Male,228965,UT,,,,,,,23:39:05 29-May-2022,1,23:41:54 29-May-2022,66,228,296,216,0,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,23:39:05 29-May-2022,2,23:43:00 29-May-2022,46,296,304,432,1,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,23:39:05 29-May-2022,3,23:43:46 29-May-2022,174,304,248,3021,1,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,23:39:05 29-May-2022,4,23:46:40 29-May-2022,200,248,0,4568,0,-24,,,,,
H835 - 1yo Male,228965,UT,,,,,,,16:18:19 30-May-2022,,,779,,,,,,24,171,10.70,7.90,78
H835 - 1yo Male,228965,UT,,,,,,,16:18:19 30-May-2022,0,16:18:19 30-May-2022,115,0,148,841,0,70,,,,,
H835 - 1yo Male,228965,UT,,,,,,,16:18:19 30-May-2022,1,16:20:14 30-May-2022,71,148,220,120,0,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,16:18:19 30-May-2022,2,16:21:25 30-May-2022,197,220,288,841,0,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,16:18:19 30-May-2022,3,16:24:42 30-May-2022,148,288,236,3122,0,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,16:18:19 30-May-2022,4,16:27:10 30-May-2022,170,236,0,3813,0,-33,,,,,
H835 - 1yo Male,228965,UT,,,,,,,04:40:50 04-Jun-2022,,,640,,,,,,66,81,13.10,8.00,90
H835 - 1yo Male,228965,UT,,,,,,,04:40:50 04-Jun-2022,0,04:40:50 04-Jun-2022,189,0,241,1768,1,61,,,,,
H835 - 1yo Male,228965,UT,,,,,,,04:40:50 04-Jun-2022,1,04:43:59 04-Jun-2022,56,241,368,1303,5,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,04:40:50 04-Jun-2022,2,04:44:55 04-Jun-2022,30,368,376,745,6,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,04:40:50 04-Jun-2022,3,04:45:25 04-Jun-2022,34,376,368,838,8,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,04:40:50 04-Jun-2022,4,04:45:59 04-Jun-2022,241,368,0,5910,0,-53,,,,,
H835 - 1yo Male,228965,UT,,,,,,,10:32:57 22-Jun-2022,,,1095,,,,,,150,66,12.90,7.00,72
H835 - 1yo Male,228965,UT,,,,,,,10:32:57 22-Jun-2022,0,10:32:57 22-Jun-2022,200,0,288,747,0,75,,,,,
H835 - 1yo Male,228965,UT,,,,,,,10:32:57 22-Jun-2022,1,10:36:17 22-Jun-2022,88,288,400,398,1,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,10:32:57 22-Jun-2022,2,10:37:45 22-Jun-2022,471,400,296,6325,6,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,10:32:57 22-Jun-2022,3,10:45:36 22-Jun-2022,120,296,204,2241,1,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,10:32:57 22-Jun-2022,4,10:47:36 22-Jun-2022,144,204,0,3237,0,-24,,,,,
H835 - 1yo Male,228965,UT,,,,,,,19:03:04 24-Jun-2022,,,1096,,,,,,235,237,12.90,6.90,80
H835 - 1yo Male,228965,UT,,,,,,,19:03:04 24-Jun-2022,0,19:03:04 24-Jun-2022,214,0,248,1591,0,63,,,,,
H835 - 1yo Male,228965,UT,,,,,,,19:03:04 24-Jun-2022,1,19:06:38 24-Jun-2022,373,248,296,5775,0,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,19:03:04 24-Jun-2022,2,19:12:51 24-Jun-2022,199,296,236,4501,0,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,19:03:04 24-Jun-2022,3,19:16:10 24-Jun-2022,159,236,37,4092,0,,,,,,
H835 - 1yo Male,228965,UT,,,,,,,19:03:04 24-Jun-2022,4,19:18:49 24-Jun-2022,71,37,0,818,0,0,,,,,
