DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
H891 - 1yo Female,228987,UT,,,,,,,01:44:54 12-May-2022,,,339,,,,,,59,,9.50,,33
H891 - 1yo Female,228987,UT,,,,,,,01:44:54 12-May-2022,0,01:44:54 12-May-2022,14,0,12,257,0,42,,,,,
H891 - 1yo Female,228987,UT,,,,,,,01:44:54 12-May-2022,1,01:45:08 12-May-2022,254,12,19,3627,0,,,,,,
H891 - 1yo Female,228987,UT,,,,,,,01:44:54 12-May-2022,2,01:49:22 12-May-2022,16,19,24,229,1,,,,,,
H891 - 1yo Female,228987,UT,,,,,,,01:44:54 12-May-2022,3,01:49:38 12-May-2022,8,24,20,114,0,,,,,,
H891 - 1yo Female,228987,UT,,,,,,,01:44:54 12-May-2022,4,01:49:46 12-May-2022,14,20,0,171,0,-39,,,,,
H891 - 1yo Female,228987,UT,,,,,,,03:01:41 19-May-2022,,,571,,,,,,188,140,10.80,8.50,72
H891 - 1yo Female,228987,UT,,,,,,,03:01:41 19-May-2022,0,03:01:41 19-May-2022,175,0,264,1574,1,71,,,,,
H891 - 1yo Female,228987,UT,,,,,,,03:01:41 19-May-2022,1,03:04:36 19-May-2022,55,264,280,1014,3,,,,,,
H891 - 1yo Female,228987,UT,,,,,,,03:01:41 19-May-2022,2,03:05:31 19-May-2022,74,280,256,752,1,,,,,,
H891 - 1yo Female,228987,UT,,,,,,,03:01:41 19-May-2022,3,03:06:45 19-May-2022,62,256,200,874,1,,,,,,
H891 - 1yo Female,228987,UT,,,,,,,03:01:41 19-May-2022,4,03:07:47 19-May-2022,133,200,0,2221,2,-48,,,,,
H891 - 1yo Female,228987,UT,,,,,,,01:53:53 15-Aug-2022,,,1061,,,,,,249,150,11.30,9.10,94
H891 - 1yo Female,228987,UT,,,,,,,01:53:53 15-Aug-2022,0,01:53:53 15-Aug-2022,280,0,328,1759,2,75,,,,,
H891 - 1yo Female,228987,UT,,,,,,,01:53:53 15-Aug-2022,1,01:58:33 15-Aug-2022,294,328,296,1621,4,,,,,,
H891 - 1yo Female,228987,UT,,,,,,,01:53:53 15-Aug-2022,2,02:03:27 15-Aug-2022,76,296,344,263,2,,,,,,
H891 - 1yo Female,228987,UT,,,,,,,01:53:53 15-Aug-2022,3,02:04:43 15-Aug-2022,173,344,220,1413,0,,,,,,
H891 - 1yo Female,228987,UT,,,,,,,01:53:53 15-Aug-2022,4,02:07:36 15-Aug-2022,144,220,0,1371,2,-55,,,,,
H891 - 1yo Female,228987,UT,,,,,,,14:58:18 18-Aug-2022,,,775,,,,,,39,,11.40,,73
H891 - 1yo Female,228987,UT,,,,,,,14:58:18 18-Aug-2022,0,14:58:18 18-Aug-2022,38,0,50,402,0,66,,,,,
H891 - 1yo Female,228987,UT,,,,,,,14:58:18 18-Aug-2022,1,14:58:56 18-Aug-2022,22,50,54,201,0,,,,,,
H891 - 1yo Female,228987,UT,,,,,,,14:58:18 18-Aug-2022,2,14:59:18 18-Aug-2022,609,54,44,5101,1,,,,,,
H891 - 1yo Female,228987,UT,,,,,,,14:58:18 18-Aug-2022,3,15:09:27 18-Aug-2022,6,44,42,40,0,,,,,,
H891 - 1yo Female,228987,UT,,,,,,,14:58:18 18-Aug-2022,4,15:09:33 18-Aug-2022,27,42,0,241,0,-37,,,,,
