DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
J278 - 1 yo Female,240241,UT,,,,,,,03:13:10 18-May-2023,,,452,,,,,,137,,11.00,,42
J278 - 1 yo Female,240241,UT,,,,,,,03:13:10 18-May-2023,0,03:13:10 18-May-2023,45,0,13,784,1,23,,,,,
J278 - 1 yo Female,240241,UT,,,,,,,03:13:10 18-May-2023,1,03:13:55 18-May-2023,275,13,7,3320,4,,,,,,
J278 - 1 yo Female,240241,UT,,,,,,,03:13:10 18-May-2023,2,03:18:30 18-May-2023,29,7,19,366,1,,,,,,
J278 - 1 yo Female,240241,UT,,,,,,,03:13:10 18-May-2023,3,03:18:59 18-May-2023,45,19,14,418,1,,,,,,
J278 - 1 yo Female,240241,UT,,,,,,,03:13:10 18-May-2023,4,03:19:44 18-May-2023,16,14,0,105,0,-58,,,,,
J278 - 1 yo Female,240241,UT,,,,,,,12:56:57 19-May-2023,,,862,,,,,,225,112,13.40,8.60,79
J278 - 1 yo Female,240241,UT,,,,,,,12:56:57 19-May-2023,0,12:56:57 19-May-2023,147,0,184,1107,1,73,,,,,
J278 - 1 yo Female,240241,UT,,,,,,,12:56:57 19-May-2023,1,12:59:24 19-May-2023,98,184,224,844,0,,,,,,
J278 - 1 yo Female,240241,UT,,,,,,,12:56:57 19-May-2023,2,13:01:02 19-May-2023,159,224,241,1792,0,,,,,,
J278 - 1 yo Female,240241,UT,,,,,,,12:56:57 19-May-2023,3,13:03:41 19-May-2023,220,241,200,3348,0,,,,,,
J278 - 1 yo Female,240241,UT,,,,,,,12:56:57 19-May-2023,4,13:07:21 19-May-2023,159,200,0,2820,1,-25,,,,,
J278 - 1 yo Female,240241,UT,B,38.9258,-125.2202,,,,03:07:35 24-May-2023,,,812,,,,,,238,121,12.50,8.90,67
J278 - 1 yo Female,240241,UT,B,38.9258,-125.2202,,,,03:07:35 24-May-2023,0,03:07:35 24-May-2023,192,0,288,1449,0,79,,,,,
J278 - 1 yo Female,240241,UT,B,38.9258,-125.2202,,,,03:07:35 24-May-2023,1,03:10:47 24-May-2023,116,288,408,1051,5,,,,,,
J278 - 1 yo Female,240241,UT,B,38.9258,-125.2202,,,,03:07:35 24-May-2023,2,03:12:43 24-May-2023,53,408,408,1413,10,,,,,,
J278 - 1 yo Female,240241,UT,B,38.9258,-125.2202,,,,03:07:35 24-May-2023,3,03:13:36 24-May-2023,122,408,384,3369,21,,,,,,
J278 - 1 yo Female,240241,UT,B,38.9258,-125.2202,,,,03:07:35 24-May-2023,4,03:15:38 24-May-2023,262,384,0,4601,3,-46,,,,,
J278 - 1 yo Female,240241,UT,B,40.2068,-128.2431,,,,11:53:06 25-May-2023,,,602,,,,,,236,91,12.40,9.00,68
J278 - 1 yo Female,240241,UT,B,40.2068,-128.2431,,,,11:53:06 25-May-2023,0,11:53:06 25-May-2023,46,0,68,329,0,70,,,,,
J278 - 1 yo Female,240241,UT,B,40.2068,-128.2431,,,,11:53:06 25-May-2023,1,11:53:52 25-May-2023,154,68,188,1643,11,,,,,,
J278 - 1 yo Female,240241,UT,B,40.2068,-128.2431,,,,11:53:06 25-May-2023,2,11:56:26 25-May-2023,25,188,168,493,1,,,,,,
J278 - 1 yo Female,240241,UT,B,40.2068,-128.2431,,,,11:53:06 25-May-2023,3,11:56:51 25-May-2023,205,168,156,5217,28,,,,,,
J278 - 1 yo Female,240241,UT,B,40.2068,-128.2431,,,,11:53:06 25-May-2023,4,12:00:16 25-May-2023,104,156,0,1725,4,-49,,,,,
J278 - 1 yo Female,240241,UT,Z,39.1843,-125.1926,,,,18:37:05 25-May-2023,,,827,,,,,,46,226,12.50,8.90,52
J278 - 1 yo Female,240241,UT,Z,39.1843,-125.1926,,,,18:37:05 25-May-2023,0,18:37:05 25-May-2023,230,0,384,878,2,73,,,,,
J278 - 1 yo Female,240241,UT,Z,39.1843,-125.1926,,,,18:37:05 25-May-2023,1,18:40:55 25-May-2023,73,384,424,390,1,,,,,,
J278 - 1 yo Female,240241,UT,Z,39.1843,-125.1926,,,,18:37:05 25-May-2023,2,18:42:08 25-May-2023,127,424,440,1097,2,,,,,,
J278 - 1 yo Female,240241,UT,Z,39.1843,-125.1926,,,,18:37:05 25-May-2023,3,18:44:15 25-May-2023,157,440,280,2073,3,,,,,,
