"","id","date","lon","lat","x","y","x.se","y.se","u","v","u.se","v.se","s","s.se"
"13","2022220",2022-06-06 09:00:00,-124.908657833704,42.3286254099626,-13904.7681857192,5181.55277150812,304.205621168362,305.678479121922,0.618359178117514,1.82059422529744,5.02298813898867,5.0313086070052,1.92255707913026,NA
"14","2022220",2022-06-07 09:00:00,-124.777860838039,42.611795993799,-13890.2079307644,5224.13155385636,418.286057727123,419.880847328151,0.6066772897813,1.77411593117787,5.56034318259302,5.5666490900228,1.87479300295401,NA
"15","2022220",2022-06-08 09:00:00,-124.649575503898,42.8863683105192,-13875.9272726916,5265.60406645535,540.748856152744,542.425530897977,0.595027419699617,1.72802135829184,6.01459548162657,6.01922378313777,1.82741077643924,NA
"16","2022220",2022-06-09 09:00:00,-124.523794928285,43.152500194736,-13861.9254430627,5305.97951861467,670.247621217443,671.969749696423,0.583409567872465,1.68231050663935,6.40485125000667,6.40800024258939,1.78041044207995,NA
"17","2022220",2022-06-10 09:00:00,-124.400512208202,43.410346054499,-13848.2016734395,5345.26711964394,805.673731448285,807.407320406146,0.571823734299844,1.6369833762204,6.74353272507145,6.74533012171329,1.73379205136773,NA
"18","2022220",2022-06-11 09:00:00,-124.279720440654,43.6600569056864,-13834.7551953839,5383.47607885276,946.088588598413,947.801378717674,0.560269918981753,1.592039967035,7.03931231219931,7.0398479043959,1.68755566592793,NA
"19","2022220",2022-06-12 09:00:00,-124.161412722641,43.901780410367,-13821.5852404579,5420.61560555073,1090.68086604417,1092.34166846558,0.548748121918193,1.54748027908314,7.29856879490147,7.29790294622385,1.64170135881543,NA
"20","2022220",2022-06-13 09:00:00,-124.045582151169,44.1356609186984,-13808.6910402233,5456.69490904747,1238.73777973515,1240.31608215007,0.537258343109164,1.50330431236482,7.52618006900082,7.52435690379149,1.59622921599487,NA
"21","2022220",2022-06-14 09:00:00,-123.932221823239,44.3618395139595,-13796.071826242,5491.72319865257,1389.62495575745,1391.09095950626,0.525800582554665,1.45951206688004,7.72599376695792,7.72305699625911,1.55113933803722,NA
"22","2022220",2022-06-15 09:00:00,-123.821324835855,44.5804540603495,-13783.7268300759,5525.70968367564,1542.77214551925,1544.0964660552,0.514374840254697,1.4161035426288,7.90113293165142,7.89711530156819,1.50643184206889,NA
"23","2022220",2022-06-16 09:00:00,-123.712884286019,44.7916392532099,-13771.6552832869,5558.66357342629,1697.66198780949,1698.81552655805,0.50298111620926,1.37307873961111,8.05416799299409,8.04909869643727,1.46210686401865,NA
"24","2022220",2022-06-17 09:00:00,-123.606893270736,44.9955266713588,-13759.8564174368,5590.59407721411,1853.82188379206,1854.7759677485,0.491619410418353,1.33043765782696,8.18726919188478,8.18118284702737,1.41816456121411,NA
"25","2022220",2022-06-18 09:00:00,-123.503344887007,45.1922448312479,-13748.3294640876,5621.51040434872,2010.8174360235,2011.54392343812,0.480289722881978,1.28818029727636,8.30228968815525,8.29522474206182,1.37460511539426,NA
"26","2022220",2022-06-19 09:00:00,-123.402232231836,45.3819192426774,-13737.0736548012,5651.42176413973,2168.24743797664,2168.71864956228,0.468992053600133,1.24630665795929,8.40083995061473,8.39283345973927,1.33142873621562,NA
"27","2022220",2022-06-20 09:00:00,-123.303548402225,45.5646724658286,-13726.0882211395,5680.33736589672,2325.7399711226,2325.9285468785,0.457726402572818,1.20481673987577,8.48434151572747,8.47542703539917,1.28863566534702,NA
"28","2022220",2022-06-21 09:00:00,-123.207286495179,45.7406241693903,-13715.3723946643,5708.26641892932,2482.94869996982,2482.82765185192,0.446492769800034,1.16371054302579,8.55404511912467,8.54426011309105,1.24622618127238,NA
"29","2022220",2022-06-22 09:00:00,-123.113439607699,45.9098911895795,-13704.9254069375,5735.21813254713,2639.55013269379,2639.09331720516,0.435291155281782,1.12298806740935,8.61107313716778,8.60047201158547,1.20420060494503,NA
"30","2022220",2022-06-23 09:00:00,-123.02200083679,46.0725875898698,-13694.7464895211,5761.20171605974,2795.24130322307,2794.42372322519,0.424121559018059,1.08264931302646,8.65644122699896,8.64508761890218,1.16255930647469,NA
"31","2022220",2022-06-24 09:00:00,-122.932963279453,46.228824721261,-13684.8348739769,5786.22637877677,2949.73786015237,2948.53563500677,0.412983981008868,1.0426942798771,8.6910764146503,8.67903351439683,1.12130271307113,NA
"32","2022220",2022-06-25 09:00:00,-122.846320032692,46.378711282938,-13675.1897918668,5810.30133000782,3102.7728187527,3101.16254882305,0.401878421254207,1.00312296796129,8.71584298700395,8.70315586006623,1.08043131852772,NA
"33","2022220",2022-06-26 09:00:00,-122.76206419351,46.5223533831799,-13665.8104747527,5833.4357790625,3254.09434112482,3252.05352768822,0.390804879754077,0.963935377279027,8.73151625846869,8.71824572110746,1.03994569460049,NA
"34","2022220",2022-06-27 09:00:00,-122.68018885891,46.6598546003958,-13656.6961541965,5855.6389352504,3403.46476842672,3400.97227028629,0.379763356508477,0.925131507830302,8.73882714339815,8.7250484571931,0.999846504738192,NA
"35","2022220",2022-06-28 09:00:00,-122.600687125895,46.7913160441745,-13647.8460617601,5876.92000788114,3550.66006784977,3547.6962487167,0.368753851517408,0.886711359615119,8.73847356852643,8.72426654752599,0.960134520746248,NA
"36","2022220",2022-06-29 09:00:00,-122.523552091468,46.9168364162463,-13639.2594290053,5897.28820626433,3695.46822837164,3692.01523328273,0.35777636478087,0.848674932633479,8.73109296454157,8.71654534810578,0.920810643137285,NA
"37","2022220",2022-06-30 09:00:00,-122.448776852632,47.0365120712675,-13630.9354874942,5916.75273970956,3837.68873032528,3833.73034323775,0.346830896298863,0.811022226885381,8.7172971160335,8.70249192749802,0.881875926151078,NA
"38","2022220",2022-07-01 09:00:00,-122.37635450639,47.1504370773452,-13622.8734687885,5935.32281752643,3977.13190747281,3972.65339946658,0.335917446071386,0.773753242370826,8.69766989469492,8.68268605343868,0.84333160873633,NA
